                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2794,                 1.6415,                 1.2279,                0.35864,                0.41674,                0.31209,                0.12702,                 2.1948,                 1.7809,                 1.2712,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.2908,                 1.6979,                  1.239,                0.30318,                0.43766,                0.28875,                0.11681,                 2.2096,                 1.7891,                 1.2764,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.2635,                 1.6357,                 1.2151,                0.30206,                0.45439,                0.29958,                0.11537,                 2.2519,                 1.7893,                 1.3083,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.2012,                  1.577,                 1.1964,                0.30206,                0.45439,                0.29958,                0.11537,                 2.2519,                 1.7893,                 1.3083,               0.001307,               0.001307,               0.001307
                     38,                 2.2487,                 1.6167,                 1.2547,                 0.3626,                0.49205,                 0.3333,                0.12835,                 2.2087,                 1.7116,                 1.3123,              0.0012872,              0.0012872,              0.0012872
                     39,                  2.238,                 1.6128,                  1.233,                0.39185,                0.45439,                0.34084,                0.12647,                 2.2323,                 1.7212,                 1.3313,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.2393,                 1.5698,                 1.2441,                0.38092,                0.46109,                0.33542,                0.12492,                 2.2398,                 1.7229,                 1.3583,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.2167,                 1.5391,                  1.212,                0.38092,                0.46109,                0.33542,                0.12492,                 2.2398,                 1.7229,                 1.3583,              0.0012278,              0.0012278,              0.0012278
                     42,                  2.271,                 1.6335,                 1.2623,                0.36586,                0.41172,                0.30124,                 0.1094,                 2.3063,                 1.7747,                 1.4037,               0.001208,               0.001208,               0.001208
                     43,                 2.3133,                 1.5957,                 1.2805,                0.33061,                0.40753,                0.26345,                0.09755,                 2.2937,                 1.8245,                 1.3907,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.2964,                 1.6401,                 1.2601,                0.31189,                0.42762,                0.26926,                0.10313,                 2.2513,                 1.8257,                  1.334,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.2197,                 1.5735,                 1.2329,                0.31189,                0.42762,                0.26926,                0.10313,                 2.2513,                 1.8257,                  1.334,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.3001,                 1.6368,                 1.2209,                0.33443,                0.40409,                0.28253,                 0.1103,                 2.1914,                 1.8476,                  1.302,              0.0011288,              0.0011288,              0.0011288
                     47,                  2.232,                 1.6398,                 1.2379,                0.36514,                 0.3682,                0.30138,                0.12085,                 2.1576,                  1.892,                 1.3008,               0.001109,               0.001109,               0.001109
                     48,                 2.1598,                 1.5977,                 1.2194,                0.37548,                0.35314,                0.29875,                0.11927,                 2.1506,                 1.9481,                 1.3119,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.2347,                  1.579,                 1.2358,                0.37548,                0.35314,                0.29875,                0.11927,                 2.1506,                 1.9481,                 1.3119,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.1665,                 1.5452,                 1.2204,                0.36439,                0.34393,                 0.2897,                0.11504,                 2.1627,                 1.9488,                 1.3206,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.2619,                 1.5592,                  1.218,                0.38805,                0.34561,                0.28598,                0.11699,                 2.1536,                 1.9284,                 1.3245,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.1589,                 1.5125,                 1.1974,                0.39198,                0.34393,                0.29885,                0.12209,                 2.1391,                 1.9399,                 1.3198,                0.00101,                0.00101,                0.00101
                     53,                 2.1577,                 1.5317,                 1.2263,                0.39198,                0.34393,                0.29885,                0.12209,                 2.1391,                 1.9399,                 1.3198,              0.0009902,              0.0009902,              0.0009902
